x,y,z,th,uwb_x,uwb_y,uwb_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.348336078082801e-15,1.2430573162798412e-13,-0.47500000000048986,-5.933550728751566e-15,-0.019999999999992652,-0.009999999999875695,-0.4950000000004899
7.348332689951012e-15,1.249466558198867e-13,-0.47500000000048986,-5.933581154897153e-15,0.010000000000007348,-0.029999999999875054,-0.45500000000048985
7.348329301819223e-15,1.255875799460719e-13,-0.47500000000048986,-5.933611585224476e-15,-0.009999999999992652,-0.019999999999874413,-0.5050000000004898
7.348325913687434e-15,1.2622850384475823e-13,-0.47500000000048986,-5.933641970776516e-15,0.02000000000000735,-0.02999999999987377,-0.5050000000004898
7.348323372588592e-15,1.2686942785637549e-13,-0.47500000000048986,-5.933672376563442e-15,-0.019999999999992652,1.2686942785637549e-13,-0.5050000000004898
7.348323372588592e-15,1.2686942785637549e-13,-0.47500000000048986,-5.933672376563442e-15,-0.019999999999992652,1.2686942785637549e-13,-0.5050000000004898
7.348323372588592e-15,1.2686942785637549e-13,-0.47500000000048986,-5.933672376563442e-15,-0.019999999999992652,1.2686942785637549e-13,-0.5050000000004898
9.603127374862185e-06,1.366832381644244e-13,0.7478144523944172,2.0121774051730065e-14,0.010009603127374863,0.020000000000136683,0.7178144523944172
9.727214922222067e-06,1.3668400985359032e-13,0.7511168207512187,2.012390507930135e-14,-0.019990272785077777,-0.019999999999863318,0.7611168207512187
9.727214922222067e-06,1.3668400985359032e-13,0.7511168207512187,2.012390507930135e-14,-0.019990272785077777,-0.019999999999863318,0.7611168207512187
1.268635159861028,1.8781493304012934e-13,0.7967937580381352,2.0153612602557024e-14,1.248635159861028,0.020000000000187815,0.7767937580381352
1.3076043386352725,1.893855576984471e-13,0.7968710445306164,2.0153668978929317e-14,1.3176043386352725,1.893855576984471e-13,0.7668710445306164
1.3076043386352725,1.893855576984471e-13,0.7968710445306164,2.0153668978929317e-14,1.3176043386352725,1.893855576984471e-13,0.7668710445306164
2.2003552577001377,-1.2446174761425421,0.7979141463638071,0.00025109392331647496,2.170355257700138,-1.2346174761425421,0.7979141463638071
2.2022332984113526,-1.283508029383848,0.7979159086615937,0.0002542595467337914,2.2222332984113526,-1.2635080293838479,0.7679159086615936
2.2022332984113526,-1.283508029383848,0.7979159086615937,0.0002542595467337914,2.2222332984113526,-1.2635080293838479,0.7679159086615936
3.4913225687006766,-2.1968867832582837,0.7979056664469213,6.658471169567299e-05,3.4713225687006766,-2.2168867832582837,0.8179056664469213
3.5303182345143416,-2.1986816536030784,0.7979041713331638,6.385172766868145e-05,3.5003182345143418,-2.1986816536030784,0.8079041713331638
3.5303182345143416,-2.1986816536030784,0.7979041713331638,6.385172766868145e-05,3.5003182345143418,-2.1986816536030784,0.8079041713331638
4.430972518571991,-0.9456976800531769,0.7978421358967946,-0.00024164101686508521,4.410972518571992,-0.9756976800531769,0.8078421358967947
4.430972518571991,-0.9456976800531769,0.7978421358967946,-0.00024164101686508521,4.410972518571992,-0.9756976800531769,0.8078421358967947
3.1796837135886595,-0.006359175988103316,0.7978871966318271,-5.898999891507466e-05,3.1696837135886597,0.003640824011896684,0.777887196631827
3.1407278466907687,-0.004592521038805869,0.797889421856359,-5.631209001115542e-05,3.1407278466907687,-0.014592521038805869,0.767889421856359
3.1407278466907687,-0.004592521038805869,0.797889421856359,-5.631209001115542e-05,3.1407278466907687,-0.014592521038805869,0.767889421856359
2.253194571561198,-1.2293446993367072,0.7979785139828406,0.00024793893510279957,2.263194571561198,-1.2493446993367072,0.7779785139828406
2.2513613783461115,-1.2682056495972527,0.7979790753841756,0.0002514150575043658,2.2613613783461113,-1.2482056495972527,0.7979790753841756
2.2513613783461115,-1.2682056495972527,0.7979790753841756,0.0002514150575043658,2.2613613783461113,-1.2482056495972527,0.7979790753841756
3.513126031923242,-2.1571203250932163,0.7979220153276632,7.004710153027905e-05,3.513126031923242,-2.1471203250932165,0.7979220153276632
3.5521099600979524,-2.1588381937996632,0.7979191501481748,6.742643416746084e-05,3.5521099600979524,-2.1388381937996632,0.7979191501481748
3.5521099600979524,-2.1588381937996632,0.7979191501481748,6.742643416746084e-05,3.5521099600979524,-2.1388381937996632,0.7979191501481748
4.465842703151951,-0.8773097905435968,0.7978032661216217,-0.00024256123366243995,4.455842703151951,-0.8873097905435968,0.7778032661216217
4.465842703151951,-0.8773097905435968,0.7978032661216217,-0.00024256123366243995,4.455842703151951,-0.8873097905435968,0.7778032661216217
3.1628824130878646,0.053635675080961454,0.7978801738284449,-5.991977745898718e-05,3.1728824130878643,0.07363567508096146,0.8078801738284449
3.123770007353163,0.0552552191264508,0.7978837999155031,-5.740852052238876e-05,3.123770007353163,0.0452552191264508,0.767883799915503
3.123770007353163,0.0552552191264508,0.7978837999155031,-5.740852052238876e-05,3.123770007353163,0.0452552191264508,0.767883799915503
2.2104665657363416,-1.1886332244150357,0.7980284218695615,0.00024930461801854075,2.1904665657363416,-1.1686332244150357,0.7680284218695614
2.208682702561026,-1.2275566356498413,0.7980292687201562,0.0002528642885365067,2.198682702561026,-1.2575566356498413,0.8180292687201562
2.208682702561026,-1.2275566356498413,0.7980292687201562,0.0002528642885365067,2.198682702561026,-1.2575566356498413,0.8180292687201562
3.4905986833275526,-2.138575744117715,0.7979422290342664,7.430596447693038e-05,3.460598683327553,-2.118575744117715,0.7779422290342664
3.5296458942616504,-2.140238392666491,0.7979379744434916,7.174933527770299e-05,3.5296458942616504,-2.120238392666491,0.8079379744434916
