x,y,z,th,uwb_x,uwb_y,uwb_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.832305395407115e-15,3.9864013163915413e-13,0.5249999999995101,-5.998842708589231e-15,6.832305395407115e-15,3.9864013163915413e-13,0.5249999999995101
6.832302007275326e-15,3.992810560214595e-13,0.5249999999995101,-5.998873126586683e-15,-0.009999999999993167,-0.009999999999600719,0.5249999999995101
6.832299889692958e-15,3.999219802631834e-13,0.5249999999995101,-5.998903544375416e-15,6.832299889692958e-15,3.999219802631834e-13,0.5249999999995101
6.832299889692958e-15,3.999219802631834e-13,0.5249999999995101,-5.998903544375416e-15,6.832299889692958e-15,3.999219802631834e-13,0.5249999999995101
6.832299889692958e-15,3.999219802631834e-13,0.5249999999995101,-5.998903544375416e-15,6.832299889692958e-15,3.999219802631834e-13,0.5249999999995101
6.345875537367143e-06,4.093930501730647e-13,1.6050504751770602,-3.195604134213487e-14,-0.009993654124462632,-0.009999999999590607,1.5950504751770602
6.53746638963202e-06,4.0939592983921214e-13,1.6168917201987427,-3.196406329807867e-14,6.53746638963202e-06,4.0939592983921214e-13,1.6068917201987427
6.53746638963202e-06,4.0939592983921214e-13,1.6168917201987427,-3.196406329807867e-14,6.53746638963202e-06,4.0939592983921214e-13,1.6068917201987427
0.951471687071377,0.05067970304434261,1.7781315159230147,-1.1304920008303497e-05,0.951471687071377,0.05067970304434261,1.7781315159230147
0.9866116477803413,0.05255116122684009,1.7785821888431885,-1.14988508481023e-05,0.9766116477803413,0.042551161226840085,1.7685821888431885
0.9866116477803413,0.05255116122684009,1.7785821888431885,-1.14988508481023e-05,0.9766116477803413,0.042551161226840085,1.7685821888431885
1.6981142141499446,-0.9666437302212937,1.7846851044080636,0.00023835940408173495,1.6881142141499446,-0.9766437302212937,1.7846851044080636
1.697917710276916,-1.007091285762672,1.7847033541102701,0.0002430018261222913,1.687917710276916,-1.007091285762672,1.7747033541102701
1.697917710276916,-1.007091285762672,1.7847033541102701,0.0002430018261222913,1.687917710276916,-1.007091285762672,1.7747033541102701
2.559337079365354,-1.9286719241994705,1.784933667139071,9.75480569453248e-05,2.559337079365354,-1.9386719241994705,1.774933667139071
2.594652509477758,-1.9323435870906023,1.7849334153320295,9.352783289595212e-05,2.594652509477758,-1.9323435870906023,1.7749334153320295
2.594652509477758,-1.9323435870906023,1.7849334153320295,9.352783289595212e-05,2.594652509477758,-1.9323435870906023,1.7749334153320295
3.3697892849176916,-1.1183103646237116,1.7849019169599574,-0.00019078541626756855,3.3697892849176916,-1.1183103646237116,1.7749019169599574
3.3697892849176916,-1.1183103646237116,1.7849019169599574,-0.00019078541626756855,3.3697892849176916,-1.1183103646237116,1.7749019169599574
2.561612378248889,-0.34491887688332273,1.7849203649123675,-6.661544538632554e-05,2.561612378248889,-0.34491887688332273,1.7849203649123675
2.5279086816978427,-0.34420636263539156,1.7849217979052763,-6.267893251963172e-05,2.5279086816978427,-0.35420636263539157,1.7749217979052763
2.5279086816978427,-0.34420636263539156,1.7849217979052763,-6.267893251963172e-05,2.5279086816978427,-0.35420636263539157,1.7749217979052763
1.7350516746516196,-1.3796560995302127,1.7849816682821487,0.00023878310204160396,1.7250516746516196,-1.3796560995302127,1.7749816682821487
1.7310106541889823,-1.4203389875181018,1.7849823317544993,0.0002437629061308095,1.7210106541889822,-1.4303389875181018,1.7749823317544993
1.7310106541889823,-1.4203389875181018,1.7849823317544993,0.0002437629061308095,1.7210106541889822,-1.4303389875181018,1.7749823317544993
2.615658764143088,-2.31496913931852,1.784957522398968,8.203527584961826e-05,2.615658764143088,-2.31496913931852,1.774957522398968
2.6502280359107795,-2.316010087862497,1.7849555584452015,7.821215407593235e-05,2.6402280359107797,-2.326010087862497,1.7749555584452015
2.6502280359107795,-2.316010087862497,1.7849555584452015,7.821215407593235e-05,2.6402280359107797,-2.326010087862497,1.7749555584452015
3.5104047410836166,-1.4432836143051526,1.7848735191037126,-0.00018599226686667142,3.5004047410836168,-1.4532836143051526,1.7848735191037126
3.5104047410836166,-1.4432836143051526,1.7848735191037126,-0.00018599226686667142,3.5004047410836168,-1.4532836143051526,1.7848735191037126
2.644043875750157,-0.7142887508416697,1.7849004895307958,-5.479686377731984e-05,2.644043875750157,-0.7142887508416697,1.7849004895307958
2.605216813927849,-0.7149003230875581,1.7849031110448625,-5.092742417128134e-05,2.605216813927849,-0.7149003230875581,1.7749031110448625
2.605216813927849,-0.7149003230875581,1.7849031110448625,-5.092742417128134e-05,2.605216813927849,-0.7149003230875581,1.7749031110448625
1.665459012663967,-1.680259660380025,1.7850125879099599,0.00022711770930436908,1.655459012663967,-1.680259660380025,1.7850125879099599
1.6596360594349069,-1.7186939611328238,1.7850138894947785,0.00023206210860521754,1.6496360594349069,-1.7286939611328238,1.7750138894947785
1.6596360594349069,-1.7186939611328238,1.7850138894947785,0.00023206210860521754,1.6496360594349069,-1.7286939611328238,1.7750138894947785
2.3989856849482036,-2.6158885043483173,1.784994447076665,0.00011963803940975204,2.388985684948204,-2.6158885043483173,1.784994447076665
2.435102592121017,-2.620310070234846,1.7849917175117724,0.00011555012913830843,2.4251025921210174,-2.620310070234846,1.7749917175117724
2.435102592121017,-2.620310070234846,1.7849917175117724,0.00011555012913830843,2.4251025921210174,-2.620310070234846,1.7749917175117724
3.3362260255456624,-1.6479207979771866,1.784871153392731,-0.00021171982591726475,3.3262260255456626,-1.6479207979771866,1.784871153392731
3.3362260255456624,-1.6479207979771866,1.784871153392731,-0.00021171982591726475,3.3262260255456626,-1.6479207979771866,1.784871153392731
2.7158826626499173,-0.799661743479672,1.7848870285871061,-9.67845618325504e-05,2.7158826626499173,-0.809661743479672,1.7848870285871061
2.6811254184319573,-0.797716825559055,1.7848898858539997,-9.149912214826284e-05,2.6711254184319575,-0.797716825559055,1.7748898858539996
2.6811254184319573,-0.797716825559055,1.7848898858539997,-9.149912214826284e-05,2.6711254184319575,-0.797716825559055,1.7748898858539996
1.953452676167507,-0.8389531468097163,1.7850038044555943,3.938365610157812e-06,1.953452676167507,-0.8489531468097163,1.7850038044555943
1.951760903006024,-0.8409745619253752,1.7850052122369466,4.662920836460692e-06,1.951760903006024,-0.8409745619253752,1.7750052122369466
1.951760903006024,-0.8409745619253752,1.7850052122369466,4.662920836460692e-06,1.951760903006024,-0.8409745619253752,1.7750052122369466
