Latitude,Longitude,Altitude,Est. Latitude,Est. Longitude,Est. Altitude
-35.3632621,149.1652375,0.003,-35.3632615,149.1652379,0.0029989
-35.3632621,149.1652375,0.003,-35.3632611,149.16523819999998,0.0030008
-35.3632621,149.1652375,0.003,-35.3632634,149.1652378,0.0030007000000000002
-35.3632621,149.1652375,0.003,-35.3632617,149.1652373,0.0030013
-35.3632621,149.1652375,0.003,-35.3632614,149.1652361,0.0029987
-35.3632621,149.1652375,0.003,-35.3632625,149.1652361,0.0030002
-35.3632621,149.1652375,0.003,-35.3632632,149.16523709999998,0.003
-35.3632621,149.1652375,0.003,-35.363261,149.1652373,0.0030007000000000002
-35.3632621,149.1652375,0.003,-35.3632627,149.16523709999998,0.0030009
-35.3632621,149.1652375,0.003,-35.3632632,149.16523769999998,0.0030013
-35.3632621,149.1652375,0.003,-35.3632619,149.1652364,0.0030008
-35.3632621,149.1652375,0.003,-35.3632621,149.16523859999998,0.0030003
-35.3632621,149.1652375,0.003,-35.3632622,149.1652387,0.0029997
-35.3632621,149.1652375,0.003,-35.363262,149.1652365,0.0029997
-35.3632621,149.1652375,0.003,-35.3632636,149.1652374,0.0030014
-35.3632621,149.1652375,0.003,-35.3632635,149.1652366,0.0029997
-35.3632621,149.1652375,0.003,-35.3632617,149.1652389,0.0029993
-35.3632621,149.1652375,0.003,-35.3632611,149.1652388,0.0029991
-35.3632621,149.1652375,0.003,-35.3632622,149.1652374,0.0030009
-35.3632621,149.1652375,0.003,-35.3632624,149.1652366,0.0030001
-35.3632621,149.1652375,0.003,-35.3632613,149.1652365,0.0029999000000000002
-35.3632621,149.1652375,0.003,-35.3632608,149.16523719999998,0.0030014
-35.3632621,149.1652375,0.003,-35.3632607,149.165237,0.0029992
-35.3632621,149.1652375,0.004,-35.3632608,149.165238,0.0039996
-35.3632621,149.1652375,0.004,-35.3632625,149.1652384,0.0039993
-35.3632621,149.1652375,0.004,-35.3632629,149.16523619999998,0.0040005
-35.3632621,149.1652375,0.032,-35.3632608,149.1652384,0.0320005
-35.3632621,149.1652375,0.032,-35.3632611,149.1652387,0.0319986
-35.3632621,149.1652375,0.095,-35.3632621,149.16523859999998,0.0950014
-35.3632621,149.1652375,0.095,-35.3632635,149.1652378,0.094999
-35.3632621,149.1652375,0.095,-35.3632625,149.1652383,0.0949998
-35.3632621,149.1652375,0.219,-35.3632614,149.1652365,0.2190011
-35.3632621,149.1652375,0.219,-35.3632608,149.1652365,0.2190007
-35.3632621,149.1652375,0.434,-35.3632624,149.1652385,0.43399909999999997
-35.3632621,149.1652375,0.434,-35.3632621,149.16523759999998,0.4339988
-35.3632621,149.1652375,0.434,-35.3632622,149.1652379,0.4340002
-35.3632621,149.1652374,0.537,-35.3632614,149.1652364,0.5369996
-35.3632621,149.1652374,0.537,-35.3632616,149.165236,0.5369987
-35.3632308,149.1652351,0.5,-35.363229999999994,149.1652349,0.5000002
-35.3632308,149.1652351,0.5,-35.3632317,149.16523429999998,0.4999998
-35.3632308,149.1652351,0.5,-35.363231799999994,149.1652355,0.5000001
-35.3632308,149.1652351,0.5,-35.363231899999995,149.16523519999998,0.4999997
-35.3632308,149.1652351,0.5,-35.36322989999999,149.16523469999998,0.5000007
-35.3632308,149.1652351,0.5,-35.3632314,149.1652365,0.5000011
-35.3632308,149.1652351,0.5,-35.363231199999994,149.16523569999998,0.4999995
-35.3632308,149.1652351,0.5,-35.3632309,149.1652363,0.5000014
-35.3632308,149.1652351,0.5,-35.3632323,149.16523519999998,0.4999996
-35.3632308,149.1652351,0.5,-35.3632316,149.1652363,0.4999994
-35.3632308,149.1652351,0.5,-35.363229499999996,149.16523479999998,0.5000006
-35.3632308,149.1652351,0.5,-35.3632297,149.1652365,0.500001
-35.3632308,149.1652351,0.5,-35.3632303,149.165235,0.5000014
-35.3632308,149.1652351,0.5,-35.3632317,149.1652337,0.4999992
-35.3632308,149.1652351,0.5,-35.3632317,149.1652341,0.4999995
-35.3632308,149.1652351,0.5,-35.3632314,149.1652356,0.4999989
