Latitude,Longitude,Altitude,Est. Latitude,Est. Longitude,Est. Altitude
-35.3632621,149.1652375,0.003,-35.3632619,149.16523709999998,0.0029999000000000002
-35.3632621,149.1652375,0.003,-35.3632621,149.165237,0.0029999000000000002
-35.3632621,149.1652375,0.003,-35.3632626,149.16523719999998,0.0029997
-35.3632621,149.1652375,0.003,-35.3632619,149.16523759999998,0.0029999000000000002
-35.3632621,149.1652375,0.003,-35.363262,149.16523719999998,0.0029996000000000003
-35.3632621,149.1652375,0.003,-35.3632622,149.16523709999998,0.0030003
-35.3632621,149.1652375,0.003,-35.3632624,149.1652375,0.0029996000000000003
-35.3632621,149.1652375,0.003,-35.3632626,149.1652373,0.0029998
-35.3632621,149.1652375,0.003,-35.3632625,149.1652373,0.003
-35.3632621,149.1652375,0.003,-35.3632617,149.16523709999998,0.0029999000000000002
-35.3632621,149.1652375,0.003,-35.363262,149.16523769999998,0.0030004
-35.3632621,149.1652375,0.003,-35.3632621,149.16523719999998,0.003
-35.3632621,149.1652375,0.003,-35.3632618,149.16523709999998,0.0030001
-35.3632621,149.1652375,0.003,-35.3632621,149.1652378,0.0029996000000000003
-35.3632621,149.1652375,0.003,-35.3632624,149.16523759999998,0.003
-35.3632621,149.1652375,0.003,-35.3632626,149.16523769999998,0.0030004
-35.3632621,149.1652375,0.003,-35.3632621,149.1652379,0.003
-35.3632621,149.1652375,0.003,-35.3632623,149.16523719999998,0.0030002
-35.3632621,149.1652375,0.003,-35.3632626,149.16523719999998,0.0029999000000000002
-35.3632621,149.1652375,0.003,-35.3632621,149.1652373,0.0030003
-35.3632621,149.1652375,0.003,-35.3632626,149.1652373,0.0030004
-35.3632621,149.1652375,0.003,-35.3632625,149.16523769999998,0.0029997
-35.3632621,149.1652375,0.003,-35.3632617,149.16523769999998,0.0029995
-35.3632621,149.1652375,0.004,-35.3632617,149.1652373,0.0039999
-35.3632621,149.1652375,0.004,-35.3632623,149.1652373,0.0039998
-35.3632621,149.1652375,0.004,-35.363262,149.1652374,0.0040002
-35.3632621,149.1652375,0.034,-35.3632624,149.1652375,0.0339995
-35.3632621,149.1652375,0.034,-35.3632626,149.1652379,0.034
-35.3632621,149.1652375,0.097,-35.3632618,149.1652378,0.0969996
-35.3632621,149.1652375,0.097,-35.3632618,149.16523769999998,0.0970004
-35.3632621,149.1652375,0.097,-35.3632621,149.16523769999998,0.097
-35.3632621,149.1652375,0.26,-35.3632623,149.1652379,0.2600001
-35.3632621,149.1652375,0.26,-35.3632623,149.16523769999998,0.2600001
-35.3632621,149.1652375,0.554,-35.3632625,149.1652378,0.5539998
-35.3632621,149.1652375,0.554,-35.3632618,149.165237,0.5540002
-35.3632621,149.1652375,0.554,-35.3632625,149.1652373,0.5539998
-35.3632621,149.1652374,0.805,-35.3632619,149.1652374,0.8049998
-35.3632621,149.1652374,0.805,-35.3632623,149.1652375,0.8049995000000001
-35.3632621,149.1652374,1.037,-35.3632624,149.1652377,1.037
-35.3632621,149.1652374,1.037,-35.3632626,149.1652374,1.0369997
-35.3632621,149.1652374,1.037,-35.3632622,149.16523759999998,1.0370002999999999
-35.3632621,149.1652374,1.234,-35.3632624,149.16523759999998,1.2340001999999999
-35.3632621,149.1652374,1.234,-35.3632624,149.1652377,1.2340001999999999
-35.3632621,149.1652374,1.387,-35.3632625,149.16523709999998,1.3869998000000001
-35.3632621,149.1652374,1.387,-35.3632622,149.16523709999998,1.3870003
-35.3632621,149.1652374,1.387,-35.3632618,149.16523709999998,1.3870001
-35.3632621,149.1652373,1.494,-35.3632618,149.1652377,1.4939997
-35.3632621,149.1652373,1.494,-35.3632626,149.1652373,1.4940001
-35.3632308,149.1652351,1.498,-35.3632308,149.16523529999998,1.4979996
-35.3632308,149.1652351,1.498,-35.3632311,149.1652351,1.4980002
-35.3632308,149.1652351,1.498,-35.363231,149.1652346,1.4979996
-35.3632308,149.1652351,1.498,-35.3632309,149.1652349,1.4979998
-35.3632308,149.1652351,1.498,-35.36323049999999,149.16523519999998,1.4979996
-35.3632308,149.1652351,1.498,-35.363230699999995,149.16523519999998,1.4979996
