Latitude,Longitude,Altitude,Est. Latitude,Est. Longitude,Est. Altitude
-35.3632622,149.1652375,0.003,-35.3632621,149.1652379,0.0030002
-35.3632622,149.1652375,0.003,-35.3632621,149.165237,0.0030004
-35.3632622,149.1652375,0.003,-35.3632626,149.1652373,0.0029997
-35.3632622,149.1652375,0.003,-35.363262500000005,149.16523719999998,0.0029998
-35.3632622,149.1652375,0.003,-35.363261800000004,149.16523759999998,0.0029999000000000002
-35.3632622,149.1652375,0.003,-35.3632627,149.16523759999998,0.003
-35.3632622,149.1652375,0.003,-35.363262,149.1652378,0.0029999000000000002
-35.3632622,149.1652375,0.003,-35.3632626,149.16523759999998,0.0029998
-35.3632622,149.1652375,0.003,-35.3632623,149.16523759999998,0.0030002
-35.3632622,149.1652375,0.003,-35.363262500000005,149.16523719999998,0.0029997
-35.3632622,149.1652375,0.003,-35.3632623,149.1652373,0.0029999000000000002
-35.3632622,149.1652375,0.003,-35.363262500000005,149.1652374,0.0030002
-35.3632622,149.1652375,0.003,-35.3632626,149.16523769999998,0.0030003
-35.3632622,149.1652375,0.003,-35.3632621,149.1652379,0.003
-35.3632622,149.1652375,0.003,-35.3632626,149.16523769999998,0.0030004
-35.3632622,149.1652375,0.003,-35.363262500000005,149.165237,0.0029998
-35.3632622,149.1652375,0.003,-35.363261800000004,149.1652374,0.0030001
-35.3632622,149.1652375,0.003,-35.3632623,149.1652379,0.0030004
-35.3632622,149.1652375,0.003,-35.3632621,149.16523719999998,0.0029996000000000003
-35.3632622,149.1652375,0.003,-35.363261800000004,149.16523759999998,0.003
-35.3632622,149.1652375,0.003,-35.3632619,149.1652373,0.0029999000000000002
-35.3632622,149.1652375,0.003,-35.363262500000005,149.16523709999998,0.0030004
-35.3632622,149.1652375,0.003,-35.3632619,149.16523709999998,0.0029998
-35.3632622,149.1652375,0.003,-35.3632621,149.1652373,0.0030002
-35.3632622,149.1652375,0.013,-35.3632624,149.1652373,0.0130002
-35.3632622,149.1652375,0.013,-35.3632621,149.1652379,0.013000399999999999
-35.3632622,149.1652375,0.013,-35.363262,149.16523769999998,0.012999799999999999
-35.3632622,149.1652375,0.058,-35.3632627,149.16523709999998,0.057999800000000004
-35.3632622,149.1652375,0.058,-35.363261800000004,149.1652374,0.058000100000000006
-35.3632622,149.1652375,0.139,-35.3632622,149.16523709999998,0.13900030000000002
-35.3632622,149.1652375,0.139,-35.3632626,149.1652373,0.13900010000000002
-35.3632622,149.1652375,0.139,-35.363261800000004,149.1652379,0.13900030000000002
-35.3632622,149.1652375,0.396,-35.3632619,149.1652374,0.3959998
-35.3632622,149.1652375,0.396,-35.3632623,149.1652375,0.39600040000000003
-35.3632621,149.1652374,0.632,-35.3632624,149.1652375,0.6319998
-35.3632621,149.1652374,0.632,-35.363262,149.16523759999998,0.6320004
-35.3632621,149.1652374,0.632,-35.3632623,149.1652374,0.632
-35.3632621,149.1652374,0.807,-35.363262,149.1652374,0.8070001
-35.3632621,149.1652374,0.807,-35.3632625,149.1652377,0.8070003
-35.3632621,149.1652374,0.942,-35.3632624,149.1652372,0.9419999
-35.3632621,149.1652374,0.942,-35.3632617,149.16523709999998,0.9419995
-35.3632621,149.1652374,0.942,-35.3632623,149.16523759999998,0.9419995
-35.3632621,149.1652374,1.029,-35.3632623,149.16523709999998,1.0289998
-35.3632621,149.1652374,1.029,-35.3632626,149.1652369,1.0289998
-35.3632308,149.1652351,0.996,-35.363230599999994,149.1652346,0.9959999
-35.3632308,149.1652351,0.996,-35.3632308,149.165235,0.9959999
-35.3632308,149.1652351,0.996,-35.3632311,149.1652346,0.9960004
-35.3632308,149.1652351,0.996,-35.3632311,149.1652349,0.9959998
-35.3632308,149.1652351,0.996,-35.3632311,149.16523469999998,0.9959997
-35.3632308,149.1652351,0.996,-35.36323049999999,149.1652355,0.996
-35.3632308,149.1652351,0.996,-35.36323049999999,149.1652351,0.9960002
