Latitude,Longitude,Altitude,Est. Latitude,Est. Longitude,Est. Altitude
-35.3632621,149.1652375,0.003,-35.363262,149.16523769999998,0.0029998
-35.3632621,149.1652375,0.003,-35.3632618,149.1652375,0.0029995
-35.3632621,149.1652375,0.003,-35.3632622,149.1652374,0.0029995
-35.3632621,149.1652375,0.003,-35.3632626,149.16523759999998,0.0029998
-35.3632621,149.1652375,0.003,-35.3632625,149.16523709999998,0.0030003
-35.3632621,149.1652375,0.003,-35.3632618,149.1652378,0.0029998
-35.3632621,149.1652375,0.003,-35.3632619,149.1652374,0.0030004
-35.3632621,149.1652375,0.003,-35.3632617,149.16523769999998,0.0030001
-35.3632621,149.1652375,0.003,-35.363262,149.16523759999998,0.0030001
-35.3632621,149.1652375,0.003,-35.3632621,149.165237,0.0030002
-35.3632621,149.1652375,0.003,-35.3632625,149.1652379,0.0030001
-35.3632621,149.1652375,0.003,-35.3632619,149.16523719999998,0.0030004
-35.3632621,149.1652375,0.003,-35.3632626,149.16523719999998,0.003
-35.3632621,149.1652375,0.003,-35.3632626,149.1652373,0.0030002
-35.3632621,149.1652375,0.003,-35.3632617,149.16523709999998,0.0029998
-35.3632621,149.1652375,0.003,-35.3632618,149.165237,0.0029996000000000003
-35.3632621,149.1652375,0.003,-35.3632621,149.1652378,0.0029995
-35.3632621,149.1652375,0.003,-35.3632618,149.16523709999998,0.0029999000000000002
-35.3632621,149.1652375,0.003,-35.3632619,149.16523759999998,0.0029997
-35.3632621,149.1652375,0.003,-35.3632625,149.16523719999998,0.0029998
-35.3632621,149.1652375,0.003,-35.3632622,149.1652378,0.0029998
-35.3632621,149.1652375,0.003,-35.3632624,149.16523709999998,0.003
-35.3632621,149.1652375,0.003,-35.3632623,149.1652374,0.003
-35.3632621,149.1652375,0.003,-35.363262,149.1652374,0.0029996000000000003
-35.3632621,149.1652375,0.003,-35.3632621,149.1652374,0.0029996000000000003
-35.3632621,149.1652375,0.003,-35.3632617,149.1652378,0.0030002
-35.3632621,149.1652375,0.003,-35.3632626,149.1652373,0.0029998
-35.3632621,149.1652375,0.003,-35.3632618,149.1652379,0.0029999000000000002
-35.3632621,149.1652375,0.106,-35.3632622,149.165237,0.1059997
-35.3632621,149.1652375,0.106,-35.3632619,149.16523769999998,0.1060001
-35.3632621,149.1652375,0.106,-35.3632619,149.1652375,0.1059997
-35.3632621,149.1652375,0.106,-35.3632619,149.1652373,0.1059996
-35.3632621,149.1652375,0.106,-35.3632619,149.16523709999998,0.1060001
-35.3632621,149.1652375,0.106,-35.3632618,149.16523769999998,0.1059999
-35.3632621,149.1652375,0.106,-35.3632622,149.16523769999998,0.1060001
-35.3632621,149.1652375,0.106,-35.363262,149.16523719999998,0.1060004
-35.3632621,149.1652375,0.106,-35.3632618,149.1652375,0.10599979999999999
-35.3632621,149.1652375,0.106,-35.3632626,149.16523719999998,0.1060002
-35.3632621,149.1652374,0.583,-35.3632617,149.1652378,0.5829997
-35.3632621,149.1652374,0.583,-35.3632617,149.1652377,0.5830004
-35.3632308,149.1652351,0.497,-35.363231299999995,149.1652354,0.4969998
-35.3632308,149.1652351,0.497,-35.3632309,149.1652349,0.4970003
-35.3632308,149.1652351,0.497,-35.3632304,149.16523469999998,0.4970004
-35.3632308,149.1652351,0.497,-35.363230599999994,149.16523469999998,0.4969997
-35.3632308,149.1652351,0.497,-35.36323049999999,149.16523469999998,0.4970004
-35.3632308,149.1652351,0.497,-35.3632308,149.1652349,0.4969995
-35.3632308,149.1652351,0.497,-35.363231299999995,149.16523519999998,0.4969996
-35.3632308,149.1652351,0.497,-35.3632304,149.1652349,0.4970003
-35.3632308,149.1652351,0.497,-35.3632309,149.16523519999998,0.4970001
-35.3632308,149.1652351,0.497,-35.3632309,149.16523479999998,0.4970001
-35.3632308,149.1652351,0.497,-35.363230699999995,149.1652346,0.4969999
-35.3632308,149.1652351,0.497,-35.363231299999995,149.1652349,0.4969999
-35.3632308,149.1652351,0.497,-35.363230599999994,149.1652354,0.4970002
-35.3632308,149.1652351,0.497,-35.36323049999999,149.1652349,0.4969997
-35.3632308,149.1652351,0.497,-35.3632309,149.16523479999998,0.4969997
-35.3632308,149.1652351,0.497,-35.36323049999999,149.1652354,0.4970004
-35.3632308,149.1652351,0.497,-35.3632311,149.1652351,0.4970004
-35.3632308,149.1652351,0.497,-35.36323049999999,149.1652349,0.4970001
-35.3632308,149.1652351,0.497,-35.3632308,149.16523529999998,0.4970004
-35.3632308,149.1652351,0.497,-35.363230699999995,149.1652354,0.4969996
-35.3632308,149.1652351,0.497,-35.3632309,149.1652351,0.4970003
-35.3632308,149.1652351,0.497,-35.363231199999994,149.16523519999998,0.4969998
-35.3632308,149.1652351,0.497,-35.363230699999995,149.16523479999998,0.4969995
-35.3632308,149.1652351,0.497,-35.363231199999994,149.1652355,0.4969997
-35.3632308,149.1652351,0.497,-35.3632311,149.16523479999998,0.4969995
-35.3632308,149.1652351,0.497,-35.363231,149.16523529999998,0.4970003
-35.3632308,149.1652351,0.497,-35.3632309,149.1652355,0.4969995
-35.3632308,149.1652351,0.497,-35.363230699999995,149.1652351,0.4969997
-35.3632308,149.1652351,0.497,-35.36323049999999,149.16523469999998,0.4969999
-35.3632308,149.1652351,0.497,-35.363231299999995,149.16523469999998,0.4970004
-35.3632308,149.1652351,0.497,-35.36323049999999,149.1652349,0.4969999
-35.3632308,149.1652351,0.497,-35.3632311,149.16523529999998,0.4969999
-35.3632308,149.1652351,0.497,-35.363231,149.1652354,0.4969997
