Latitude,Longitude,Altitude,Est. Latitude,Est. Longitude,Est. Altitude
-35.3632621,149.1652375,0.002,-35.3632613,149.1652378,0.0020008
-35.3632621,149.1652375,0.002,-35.3632633,149.1652365,0.0020011
-35.3632621,149.1652375,0.002,-35.3632618,149.1652379,0.0019996000000000002
-35.3632621,149.1652375,0.002,-35.363263,149.16523769999998,0.0019995
-35.3632621,149.1652375,0.002,-35.3632617,149.1652364,0.001999
-35.3632621,149.1652375,0.002,-35.3632629,149.16523859999998,0.0019994
-35.3632621,149.1652375,0.002,-35.3632619,149.1652364,0.0020008
-35.3632621,149.1652375,0.003,-35.3632629,149.1652368,0.0030013
-35.3632621,149.1652375,0.003,-35.3632625,149.16523629999998,0.0030001
-35.3632621,149.1652375,0.003,-35.3632622,149.1652361,0.0029991
-35.3632621,149.1652375,0.003,-35.3632616,149.16523709999998,0.0029994
-35.3632621,149.1652375,0.003,-35.3632617,149.16523809999998,0.0029994
-35.3632621,149.1652375,0.003,-35.3632613,149.1652374,0.0030012
-35.3632621,149.1652375,0.003,-35.3632635,149.165237,0.0030004
-35.3632621,149.1652375,0.003,-35.3632622,149.16523809999998,0.0030002
-35.3632621,149.1652375,0.003,-35.3632626,149.1652385,0.0029991
-35.3632621,149.1652375,0.003,-35.3632611,149.1652361,0.0030006
-35.3632621,149.1652375,0.003,-35.3632634,149.16523709999998,0.0029995
-35.3632621,149.1652375,0.003,-35.3632619,149.1652383,0.0030007000000000002
-35.3632621,149.1652375,0.003,-35.3632626,149.16523719999998,0.0029997
-35.3632621,149.1652375,0.003,-35.3632607,149.16523859999998,0.0029992
-35.3632621,149.1652375,0.003,-35.3632608,149.16523859999998,0.0030003
-35.3632621,149.1652375,0.003,-35.3632622,149.1652389,0.0030003
-35.3632621,149.1652375,0.003,-35.363261,149.165236,0.0030014
-35.3632621,149.1652375,0.003,-35.3632627,149.165236,0.0030012
-35.3632621,149.1652375,0.018,-35.3632611,149.1652378,0.018001299999999998
-35.3632621,149.1652375,0.018,-35.363261,149.1652389,0.0180003
-35.3632621,149.1652375,0.068,-35.3632617,149.1652366,0.06799920000000001
-35.3632621,149.1652375,0.068,-35.3632631,149.1652375,0.0679994
-35.3632621,149.1652375,0.068,-35.363261,149.1652384,0.06799960000000001
-35.3632621,149.1652375,0.163,-35.3632608,149.1652375,0.162999
-35.3632621,149.1652375,0.163,-35.3632613,149.16523769999998,0.163
-35.3632621,149.1652375,0.428,-35.3632608,149.1652378,0.42799909999999997
-35.3632621,149.1652375,0.428,-35.3632608,149.16523809999998,0.4280002
